date,restaurant_id,restaurant_name,meal_type,day_of_week,is_weekend,is_holiday,month,temperature,rainfall,special_event,previous_day_sales,previous_week_avg_sales,avg_7day_sales,quantity_prepared,quantity_sold,quantity_wasted
2025-01-01,R1,Spice Route Kitchen,dinner,2,0,0,1,15.8,0.0,0,57,57.0,57.0,60,49,11
2025-01-01,R1,Spice Route Kitchen,lunch,2,0,0,1,15.8,0.0,0,38,38.0,38.0,43,37,6
2025-01-01,R2,Green Leaf Cafe,dinner,2,0,0,1,15.9,2.9,0,36,36.0,36.0,38,34,4
2025-01-01,R2,Green Leaf Cafe,lunch,2,0,0,1,15.9,2.9,0,24,24.0,24.0,29,25,4
2025-01-01,R3,Coastal Kitchen,dinner,2,0,0,1,12.9,1.2,0,66,66.0,66.0,78,62,16
2025-01-01,R3,Coastal Kitchen,lunch,2,0,0,1,12.9,1.2,0,44,44.0,44.0,55,44,11
2025-01-01,R4,Urban Tandoor,dinner,2,0,0,1,12.8,6.5,0,45,45.0,45.0,44,39,5
2025-01-01,R4,Urban Tandoor,lunch,2,0,0,1,12.8,6.5,0,30,30.0,30.0,32,28,4
2025-01-01,R5,Campus Canteen,dinner,2,0,0,1,14.3,3.0,0,84,84.0,84.0,82,77,5
2025-01-01,R5,Campus Canteen,lunch,2,0,0,1,14.3,3.0,0,56,56.0,56.0,56,52,4
2025-01-02,R1,Spice Route Kitchen,dinner,3,0,0,1,14.6,0.3,0,49,49.0,49.0,70,56,14
2025-01-02,R1,Spice Route Kitchen,lunch,3,0,0,1,14.6,0.3,0,37,37.0,37.0,48,39,9
2025-01-02,R2,Green Leaf Cafe,dinner,3,0,0,1,16.0,0.0,0,34,34.0,34.0,38,34,4
2025-01-02,R2,Green Leaf Cafe,lunch,3,0,0,1,16.0,0.0,0,25,25.0,25.0,28,22,6
2025-01-02,R3,Coastal Kitchen,dinner,3,0,0,1,14.1,4.9,0,62,62.0,62.0,71,57,14
2025-01-02,R3,Coastal Kitchen,lunch,3,0,0,1,14.1,4.9,0,44,44.0,44.0,52,41,11
2025-01-02,R4,Urban Tandoor,dinner,3,0,0,1,13.3,0.0,0,39,39.0,39.0,52,45,7
2025-01-02,R4,Urban Tandoor,lunch,3,0,0,1,13.3,0.0,0,28,28.0,28.0,31,27,4
2025-01-02,R5,Campus Canteen,dinner,3,0,0,1,15.4,1.2,0,77,77.0,77.0,89,83,6
2025-01-02,R5,Campus Canteen,lunch,3,0,0,1,15.4,1.2,0,52,52.0,52.0,62,55,7
2025-01-03,R1,Spice Route Kitchen,dinner,4,0,0,1,16.2,0.0,0,56,52.5,56.0,79,65,14
2025-01-03,R1,Spice Route Kitchen,lunch,4,0,0,1,16.2,0.0,0,39,38.0,39.0,52,41,11
2025-01-03,R2,Green Leaf Cafe,dinner,4,0,0,1,13.8,0.2,0,34,34.0,34.0,46,40,6
2025-01-03,R2,Green Leaf Cafe,lunch,4,0,0,1,13.8,0.2,0,22,23.5,22.0,33,29,4
2025-01-03,R3,Coastal Kitchen,dinner,4,0,0,1,15.5,3.3,0,57,59.5,57.0,94,75,19
2025-01-03,R3,Coastal Kitchen,lunch,4,0,0,1,15.5,3.3,0,41,42.5,41.0,70,55,15
2025-01-03,R4,Urban Tandoor,dinner,4,0,0,1,13.5,0.0,0,45,42.0,45.0,54,47,7
2025-01-03,R4,Urban Tandoor,lunch,4,0,0,1,13.5,0.0,0,27,27.5,27.0,41,35,6
2025-01-03,R5,Campus Canteen,dinner,4,0,0,1,14.7,1.6,0,83,80.0,83.0,113,102,11
2025-01-03,R5,Campus Canteen,lunch,4,0,0,1,14.7,1.6,0,55,53.5,55.0,72,63,9
2025-01-04,R1,Spice Route Kitchen,dinner,5,1,0,1,13.9,4.1,0,65,56.7,65.0,94,76,18
2025-01-04,R1,Spice Route Kitchen,lunch,5,1,0,1,13.9,4.1,0,41,39.0,41.0,58,48,10
2025-01-04,R2,Green Leaf Cafe,dinner,5,1,0,1,13.5,0.0,0,40,36.0,40.0,58,49,9
2025-01-04,R2,Green Leaf Cafe,lunch,5,1,0,1,13.5,0.0,0,29,25.3,29.0,34,29,5
2025-01-04,R3,Coastal Kitchen,dinner,5,1,0,1,17.3,6.7,0,75,64.7,75.0,104,78,26
2025-01-04,R3,Coastal Kitchen,lunch,5,1,0,1,17.3,6.7,0,55,46.7,55.0,76,56,20
2025-01-04,R4,Urban Tandoor,dinner,5,1,0,1,12.7,4.3,0,47,43.7,47.0,65,57,8
2025-01-04,R4,Urban Tandoor,lunch,5,1,0,1,12.7,4.3,0,35,30.0,35.0,45,40,5
2025-01-04,R5,Campus Canteen,dinner,5,1,0,1,17.6,4.0,0,102,87.3,102.0,125,105,20
2025-01-04,R5,Campus Canteen,lunch,5,1,0,1,17.6,4.0,0,63,56.7,63.0,90,75,15
2025-01-05,R1,Spice Route Kitchen,dinner,6,1,0,1,16.2,1.7,0,76,61.5,76.0,81,65,16
2025-01-05,R1,Spice Route Kitchen,lunch,6,1,0,1,16.2,1.7,0,48,41.2,48.0,53,44,9
2025-01-05,R2,Green Leaf Cafe,dinner,6,1,0,1,15.4,2.7,0,49,39.2,49.0,52,45,7
2025-01-05,R2,Green Leaf Cafe,lunch,6,1,0,1,15.4,2.7,0,29,26.2,29.0,35,30,5
2025-01-05,R3,Coastal Kitchen,dinner,6,1,0,1,17.8,0.6,0,78,68.0,78.0,101,79,22
2025-01-05,R3,Coastal Kitchen,lunch,6,1,0,1,17.8,0.6,0,56,49.0,56.0,80,58,22
2025-01-05,R4,Urban Tandoor,dinner,6,1,0,1,13.6,1.8,0,57,47.0,57.0,70,58,12
